Abend	A1
Adresse	A1
alt	A1
Alter	A1
Ampel	A1
Ananas	A1
Anruf	A1
Antwort	A1
antworten	A1
Apfel	A1
Arbeit	A1
arbeiten	A1
arm	A1
Arzt	A1
Aufgabe	A1
Aufzug	A1
Auge	A1
August	A1
Ausweis	A1
Auto	A1
Bäcker	A1
Bad	A1
baden	A1
Bahn	A1
Bahnhof	A1
bald	A1
Balkon	A1
Ball	A1
Banane	A1
Bank	A1
Batterie	A1
Baum	A1
beginnen	A1
beide	A1
Bein	A1
bekommen	A1
Beruf	A1
bestellen	A1
besuchen	A1
Bett	A1
bezahlen	A1
Bier	A1
Bild	A1
bilden	A1
billig	A1
Birne	A1
bitten	A1
blau	A1
bleiben	A1
Bleistift	A1
blühen	A1
Blume	A1
Bogen	A1
Boot	A1
brauchen	A1
braun	A1
breit	A1
Brief	A1
Briefkasten	A1
Brille	A1
bringen	A1
Brot	A1
Brötchen	A1
Bruder	A1
Buch	A1
buchstabieren	A1
bunt	A1
Bus	A1
Butter	A1
Café	A1
CD	A1
Chef	A1
Cola	A1
Computer	A1
Creme	A1
Dach	A1
Dank	A1
danken	A1
Datum	A1
dauern	A1
denken	A1
Deutsch	A1
Dienstag	A1
Doktor	A1
Donnerstag	A1
Dorf	A1
draußen	A1
drinnen	A1
drucken	A1
Drucker	A1
dunkel	A1
Durst	A1
Dusche	A1
duschen	A1
E-Mail	A1
Ecke	A1
Ei	A1
einfach	A1
Einkauf	A1
einkaufen	A1
einladen	A1
Eis	A1
Eltern	A1
Ende	A1
Entschuldigung	A1
Erdgeschoss	A1
erklären	A1
Erwachsene	A1
erzählen	A1
Essen	A1
fahren	A1
Fahrer	A1
Fahrkarte	A1
Fahrrad	A1
falsch	A1
Familie	A1
Farbe	A1
Fehler	A1
Fenster	A1
Ferien	A1
fern	A1
Fernsehen	A1
Fernseher	A1
fertig	A1
Feuer	A1
Fieber	A1
Film	A1
finden	A1
Firma	A1
Fisch	A1
Flasche	A1
Fleisch	A1
fliegen	A1
Flughafen	A1
Flugzeug	A1
Foto	A1
Frage	A1
fragen	A1
Frau	A1
frei	A1
Freitag	A1
Freund	A1
Freundin	A1
frisch	A1
froh	A1
früh	A1
Frühling	A1
Frühstück	A1
frühstücken	A1
fühlen	A1
Fuß	A1
Fußball	A1
füttern	A1
Gabel	A1
ganz	A1
Garten	A1
Gast	A1
geben	A1
Geburtstag	A1
gehen	A1
gehören	A1
gelb	A1
Geld	A1
Gemüse	A1
gern	A1
Geschäft	A1
Geschenk	A1
Geschirr	A1
Geschwister	A1
Gespräch	A1
gestern	A1
gesund	A1
Getränk	A1
Gitarre	A1
Glas	A1
glauben	A1
gleich	A1
Glück	A1
glücklich	A1
gratis	A1
grillen	A1
Grippe	A1
groß	A1
Größe	A1
grün	A1
Gruppe	A1
gut	A1
haben	A1
Halle	A1
Hallo	A1
Hals	A1
Hand	A1
Handy	A1
Haus	A1
Hausaufgabe	A1
heben	A1
Heft	A1
heiß	A1
heißen	A1
helfen	A1
hell	A1
Hemd	A1
Herbst	A1
Herd	A1
Herr	A1
heute	A1
hier	A1
Hilfe	A1
hinten	A1
Hobby	A1
hoch	A1
holen	A1
hören	A1
Hose	A1
Hotel	A1
Hund	A1
Hunger	A1
Husten	A1
Idee	A1
immer	A1
Information	A1
Internet	A1
Jacke	A1
Jahr	A1
Januar	A1
jetzt	A1
Job	A1
joggen	A1
Jugendliche	A1
jung	A1
Junge	A1
Kaffee	A1
Kalender	A1
kalt	A1
kaputt	A1
Karotte	A1
Karte	A1
Kartoffel	A1
Käse	A1
Kasse	A1
Katze	A1
kaufen	A1
Keks	A1
kennen	A1
Kette	A1
Kind	A1
Kino	A1
Kirsche	A1
Klasse	A1
Klavier	A1
Kleid	A1
Kleidung	A1
klein	A1
klicken	A1
kochen	A1
Koffer	A1
Kollege	A1
Kollegin	A1
kommen	A1
Kopfschmerzen	A1
kopieren	A1
korrigieren	A1
kosten	A1
kostenlos	A1
krank	A1
kreuzen	A1
Küche	A1
Kuchen	A1
Kugelschreiber	A1
Kühlschrank	A1
Kurs	A1
kurz	A1
lächeln	A1
lachen	A1
Lampe	A1
Land	A1
lang	A1
langsam	A1
laufen	A1
laut	A1
leben	A1
lecker	A1
Lehrer	A1
Lehrerin	A1
leicht	A1
leise	A1
lernen	A1
lesen	A1
Leute	A1
Licht	A1
lieb	A1
lieben	A1
Lied	A1
liegen	A1
Limonade	A1
links	A1
Liste	A1
Löffel	A1
machen	A1
Mädchen	A1
Mail	A1
malen	A1
manchmal	A1
Mann	A1
Mantel	A1
markieren	A1
Markt	A1
Medikament	A1
Meer	A1
Milch	A1
Mineralwasser	A1
Minute	A1
Mittag	A1
Mittagessen	A1
Mittwoch	A1
mixen	A1
Möbel	A1
mögen	A1
Moment	A1
Monat	A1
Montag	A1
Morgen	A1
müde	A1
Musik	A1
Mutter	A1
Mütze	A1
Nachbar	A1
Nachbarin	A1
Nachmittag	A1
Nacht	A1
nah	A1
Name	A1
Nase	A1
Natur	A1
nehmen	A1
nett	A1
neu	A1
nie	A1
niedrig	A1
niemals	A1
notieren	A1
Nudel	A1
Nummer	A1
oben	A1
Obst	A1
öffnen	A1
oft	A1
Ohr	A1
Öl	A1
Oma	A1
Onkel	A1
Opa	A1
Orange	A1
ordnen	A1
Ort	A1
Papier	A1
Park	A1
Party	A1
Pass	A1
Pause	A1
Pizza	A1
Plan	A1
Platz	A1
Polizei	A1
Pommes	A1
Post	A1
Praktikum	A1
Preis	A1
prima	A1
probieren	A1
Problem	A1
Prüfung	A1
Pullover	A1
Radio	A1
raten	A1
rechnen	A1
Rechnung	A1
rechts	A1
Regal	A1
Regen	A1
Regenschirm	A1
Reis	A1
Reise	A1
Reisebüro	A1
reisen	A1
Restaurant	A1
Rezept	A1
richtig	A1
Rock	A1
Rose	A1
rot	A1
Rucksack	A1
ruhig	A1
Saft	A1
sagen	A1
Salat	A1
Salz	A1
Samstag	A1
Sänger	A1
Sängerin	A1
Satz	A1
sauber	A1
schicken	A1
Schinken	A1
schlafen	A1
schlecht	A1
Schlüssel	A1
schmecken	A1
schnell	A1
Schokolade	A1
schön	A1
Schrank	A1
schreiben	A1
Schuh	A1
Schule	A1
Schüler	A1
Schülerin	A1
schwarz	A1
schwer	A1
Schwester	A1
schwimmen	A1
See	A1
sehen	A1
Seife	A1
sein	A1
Sekunde	A1
Shirt	A1
singen	A1
sitzen	A1
Socke	A1
sofort	A1
Sohn	A1
Sommer	A1
Sonne	A1
Sonntag	A1
sortieren	A1
spät	A1
Spiegel	A1
Spiel	A1
spielen	A1
Spielplatz	A1
Sport	A1
Sprache	A1
sprechen	A1
Stadt	A1
Stadtplan	A1
starten	A1
Stau	A1
stehen	A1
Stift	A1
Straße	A1
Strumpf	A1
Student	A1
Studentin	A1
studieren	A1
Stuhl	A1
Stunde	A1
suchen	A1
super	A1
Supermarkt	A1
Suppe	A1
surfen	A1
süß	A1
T-Shirt	A1
Tafel	A1
Tag	A1
Tante	A1
Tanz	A1
tanzen	A1
Tasche	A1
Tasse	A1
Taxi	A1
Tee	A1
Telefon	A1
telefonieren	A1
Teller	A1
Teppich	A1
Termin	A1
Test	A1
teuer	A1
Text	A1
Ticket	A1
tippen	A1
Tisch	A1
Tochter	A1
Toilette	A1
Tomate	A1
Torte	A1
Traube	A1
treffen	A1
trinken	A1
tun	A1
Tür	A1
turnen	A1
üben	A1
Übung	A1
Uhr	A1
Universität	A1
unten	A1
Urlaub	A1
Vater	A1
verkaufen	A1
Verkäufer	A1
Verkäuferin	A1
verstehen	A1
Videospiel	A1
vielleicht	A1
Viertel	A1
Vogel	A1
Vormittag	A1
vorne	A1
warm	A1
warten	A1
waschen	A1
Wasser	A1
Weg	A1
Wein	A1
weiß	A1
Werbung	A1
Wetter	A1
wichtig	A1
wieder	A1
wiederholen	A1
Winter	A1
wirklich	A1
wissen	A1
Woche	A1
Wochenende	A1
wohnen	A1
Wohnung	A1
wollen	A1
Wort	A1
wünschen	A1
Wurst	A1
Zahl	A1
zahlen	A1
Zahnbürste	A1
zeigen	A1
Zeit	A1
Zeitung	A1
zelten	A1
Zimmer	A1
Zitrone	A1
Zoo	A1
Zucker	A1
zuerst	A1
Zug	A1
zuhören	A1
zuletzt	A1
zusammen	A1
abbiegen	A2
abends	A2
abfahren	A2
Abfahrt	A2
abgeben	A2
abholen	A2
abnehmen	A2
absagen	A2
abschließen	A2
abschneiden	A2
Absender	A2
abtrocknen	A2
abwaschen	A2
ähnlich	A2
Aktion	A2
aktiv	A2
Alarm	A2
Album	A2
Alkohol	A2
allein	A2
Alltag	A2
anbieten	A2
ändern	A2
anders	A2
Anfang	A2
anfangen	A2
anfassen	A2
Angebot	A2
angeln	A2
angenehm	A2
Angst	A2
anklicken	A2
ankommen	A2
ankreuzen	A2
Ankunft	A2
anlächeln	A2
Anleitung	A2
anmachen	A2
anmelden	A2
Anmeldung	A2
anprobieren	A2
Anrufbeantworter	A2
anrufen	A2
anschauen	A2
ansehen	A2
anstellen	A2
Antwortkarte	A2
Anzeige	A2
anziehen	A2
Anzug	A2
anzünden	A2
Apotheke	A2
Aprikose	A2
Aquarium	A2
arbeitslos	A2
Arbeitsplatz	A2
ärgerlich	A2
Artikel	A2
auffüllen	A2
aufgeregt	A2
aufhängen	A2
aufhören	A2
Aufkleber	A2
aufladen	A2
aufmachen	A2
aufmerksam	A2
Aufnahme	A2
aufpassen	A2
aufräumen	A2
aufschreiben	A2
aufstehen	A2
aufteilen	A2
aufwachen	A2
aufwärmen	A2
Augenblick	A2
Ausbildung	A2
ausdrucken	A2
Ausflug	A2
ausfüllen	A2
Ausgang	A2
ausgeben	A2
ausgezeichnet	A2
Auskunft	A2
Ausland	A2
ausmachen	A2
auspacken	A2
ausruhen	A2
Ausrüstung	A2
Aussage	A2
ausschlafen	A2
aussehen	A2
außen	A2
Aussicht	A2
aussteigen	A2
Ausstellung	A2
aussuchen	A2
Austausch	A2
austauschen	A2
ausverkauft	A2
Auswahl	A2
auswandern	A2
ausziehen	A2
Autobahn	A2
Automat	A2
automatisch	A2
Babysitter	A2
backen	A2
Bäckerei	A2
Backofen	A2
Badewanne	A2
barfuß	A2
Bargeld	A2
Bart	A2
Basketball	A2
Bauch	A2
bauen	A2
Baustelle	A2
beantworten	A2
bedeuten	A2
Bedeutung	A2
Bedienung	A2
beeilen	A2
beenden	A2
Beere	A2
Begleitung	A2
behindert	A2
Behinderung	A2
Beispiel	A2
beißen	A2
bekannt	A2
Bekannte	A2
beliebt	A2
bellen	A2
Benzin	A2
bequem	A2
beraten	A2
Berg	A2
bergig	A2
Bericht	A2
berühmt	A2
beschädigen	A2
beschäftigt	A2
Bescheinigung	A2
beschreiben	A2
besetzt	A2
besichtigen	A2
Besichtigung	A2
Besitz	A2
besonders	A2
besorgen	A2
Besteck	A2
bestehen	A2
bestrafen	A2
Besuch	A2
betreten	A2
Betrieb	A2
Bevölkerung	A2
bewegen	A2
Bewegung	A2
bewerben	A2
